problem_statement,entailment,contradiction
Is there anything better than going to the zoo after a tiresome week at work No wonder Grisha feels the same while spending the entire weekend accompanied by pretty striped zebras Inspired by this adventure and an accidentally found plasticine pack represented as a sequence of black and white stripes Grisha now wants to select several consequent contiguous pieces of alternating colors to create a zebra Let s call the number of selected pieces the length of the zebra Before assembling the zebra Grisha can make the following operation 0 or more times He splits the sequence in some place into two parts then reverses each of them and sticks them together again For example if Grisha has pieces in the order here denotes a black strip and denotes a white strip then he can split the sequence as here the vertical bar represents the cut reverse both parts and obtain Determine the maximum possible length of the zebra that Grisha can produce ,implementation,data structures
An elephant decided to visit his friend It turned out that the elephant s house is located at point and his friend s house is located at point of the coordinate line In one step the elephant can move or positions forward Determine what is the minimum number of steps he need to make in order to get to his friend s house ,math,implementation
Given an array a of n positive integers In one operation you can pick any pair of indexes i j such that a i and a j have parity then replace the smaller one with the sum of them More formally If a i a j replace a i with a i a j Otherwise replace a j with a i a j Find the minimum number of operations needed to make all elements of the array have the same parity ,greedy,data structures
You are given a set of strings S Each string consists of lowercase Latin letters For each string in this set you want to calculate the minimum number of seconds required to type this string To type a string you have to start with an empty string and transform it into the string you want to type using the following actions if the current string is t choose some lowercase Latin letter c and append it to the back of t so the current string becomes t c This action takes 1 second use autocompletion When you try to autocomplete the current string t a list of all strings s in S such that t is a prefix of s is shown to you and the strings are ordered lexicographically You can transform t into the i th string from this list in i seconds Note that you may choose any string from this list you want it is not necessarily the string you are trying to type What is the minimum number of seconds that you have to spend to type each string from S ,data structures,math
Alex Bob and Carl will soon participate in a team chess tournament Since they are all in the same team they have decided to practise really hard before the tournament But it s a bit difficult for them because chess is a game for two players not three So they play with each other according to following rules Alex and Bob play the first game and Carl is spectating When the game ends the one who lost the game becomes the spectator in the next game and the one who was spectating plays against the winner Alex Bob and Carl play in such a way that there are no draws Today they have played games and for each of these games they remember who was the winner They decided to make up a log of games describing who won each game But now they doubt if the information in the log is correct and they want to know if the situation described in the log they made up was possible that is no game is won by someone who is spectating if Alex Bob and Carl play according to the rules Help them to check it ,implementation,math
You are given a non negative integer its decimal representation consists of at most digits and doesn t contain leading zeroes Your task is to determine if it is possible in this case to remove some of the digits possibly not remove any digit at all so that the result contains at least one digit forms a non negative integer doesn t have leading zeroes and is divisible by 8 After the removing it is forbidden to rearrange the digits If a solution exists you should print it ,math,implementation
You are given an array consisting of n integers Your task is to determine whether it is possible to color all its elements in two colors in such a way that the sums of the elements of both colors have the same parity and each color has at least one element colored For example if the array is 1 2 4 3 2 3 5 4 we can color it as follows color blue 1 color blue 2 color red 4 color blue 3 color red 2 color red 3 color red 5 color red 4 where the sum of the blue elements is 6 and the sum of the red elements is 18 ,greedy,data structures
Duff is the queen of her country Andarz Gu She s a competitive programming fan That s why when he saw her minister Malek free she gave her a sequence consisting of non negative integers and asked him to perform queries for her on this sequence There are two types of queries given numbers and Malek should perform for each bitwise exclusive OR of numbers and given numbers and Malek should tell her the score of sequence Score of a sequence is the number of its different Kheshtaks A non negative integer is a Kheshtak of this sequence if and only if there exists a subsequence of let s denote it as possibly empty such that If this subsequence is empty then Unlike Duff Malek is not a programmer That s why he asked for your help Please help him perform these queries ,data structures,math
The Little Elephant loves sortings He has an array consisting of integers Let s number the array elements from 1 to then the th element will be denoted as The Little Elephant can make one move to choose an arbitrary pair of integers and and increase by for all such that Help the Little Elephant find the minimum number of moves he needs to convert array to an arbitrary array sorted in the non decreasing order Array consisting of elements is sorted in the non decreasing order if for any holds ,greedy,data structures
Adilbek was assigned to a special project For Adilbek it means that he has n days to run a special program and provide its results But there is a problem the program needs to run for d days to calculate the results Fortunately Adilbek can optimize the program If he spends x x is a non negative integer days optimizing the program he will make the program run in left lceil frac d x 1 right rceil days left lceil a right rceil is the ceiling function left lceil 2 4 right rceil 3 left lceil 2 right rceil 2 The program cannot be run and optimized simultaneously so the total number of days he will spend is equal to x left lceil frac d x 1 right rceil Will Adilbek be able to provide the generated results in no more than n days ,math,implementation
Alice and Bob play yet another game on an array a of size n Alice starts with an empty array c Both players take turns playing with Alice starting first On Alice s turn she picks one element from a appends that element to c and then deletes it from a On Bob s turn he picks one element from a and then deletes it from a The game ends when the array a is empty Game s score is defined to be the MEX dagger of c Alice wants to maximize the score while Bob wants to minimize it Find game s final score if both players play optimally dagger The operatorname MEX minimum excludant of an array of integers is defined as the smallest non negative integer which does not occur in the array For example The MEX of 2 2 1 is 0 because 0 does not belong to the array The MEX of 3 1 0 1 is 2 because 0 and 1 belong to the array but 2 does not The MEX of 0 3 1 2 is 4 because 0 1 2 and 3 belong to the array but 4 does not ,greedy,data structures
Wilbur the pig now wants to play with strings He has found an by table consisting only of the digits from to where the rows are numbered to and the columns are numbered to Wilbur starts at some square and makes certain moves If he is at square and the digit is written at position move to the square if that square lies within the table and he stays in the square otherwise Before Wilbur makes a move he can choose whether or not to write the digit written in this square on the white board All digits written on the whiteboard form some string Every time a new digit is written it goes to the end of the current string Wilbur has strings that he is worried about For each string Wilbur wants to know whether there exists a starting position so that by making finitely many moves Wilbur can end up with the string written on the white board ,dp,data structures
Once upon a time Petya and Gena gathered after another programming competition and decided to play some game As they consider most modern games to be boring they always try to invent their own games They have only stickers and markers but that won t stop them The game they came up with has the following rules Initially there are stickers on the wall arranged in a row Each sticker has some number written on it Now they alternate turn Petya moves first One move happens as follows Lets say there are stickers on the wall The player who makes the current move picks some integer from to and takes leftmost stickers removes them from the wall After that he makes the new sticker puts it to the left end of the row and writes on it the new integer equal to the sum of all stickers he took on this move Game ends when there is only one sticker left on the wall The score of the player is equal to the sum of integers written on all stickers he took during all his moves The goal of each player is to maximize the difference between his score and the score of his opponent Given the integer and the initial sequence of stickers on the wall define the result of the game i e the difference between the Petya s and Gena s score if both players play optimally ,dp,math
Recently you ve discovered a new shooter They say it has realistic game mechanics Your character has a gun with magazine size equal to k and should exterminate n waves of monsters The i th wave consists of a i monsters and happens from the l i th moment of time up to the r i th moments of time All a i monsters spawn at moment l i and you have to exterminate all of them before the moment r i ends you can kill monsters right at moment r i For every two consecutive waves the second wave starts not earlier than the first wave ends though the second wave can start at the same moment when the first wave ends formally the condition r i le l i 1 holds Take a look at the notes for the examples to understand the process better You are confident in yours and your character s skills so you can assume that aiming and shooting are instant and you need exactly one bullet to kill one monster But reloading takes exactly 1 unit of time One of the realistic mechanics is a mechanic of reloading when you reload you throw away the old magazine with all remaining bullets in it That s why constant reloads may cost you excessive amounts of spent bullets You ve taken a liking to this mechanic so now you are wondering what is the minimum possible number of bullets you need to spend both used and thrown to exterminate all waves Note that you don t throw the remaining bullets away after eradicating all monsters and you start with a full magazine ,dp,math
You are given two integers n and k k le n where k is even A permutation of length n is an array consisting of n distinct integers from 1 to n in any order For example 2 3 1 5 4 is a permutation but 1 2 2 is not a permutation as 2 appears twice in the array and 0 1 2 is also not a permutation as n 3 but 3 is not present in the array Your task is to construct a permutation of length n A permutation is called if among all the sums of continuous segments of length k of which there are exactly n k 1 any two sums differ by no more than 1 More formally to determine if the permutation p is first construct an array s of length n k 1 where s i sum j i i k 1 p j i e the i th element is equal to the sum of p i p i 1 dots p i k 1 A permutation is called if max s min s le 1 Find permutation of length n ,math,data structures
Nauuo is a girl who loves coding One day she was solving a problem which requires to calculate a sum of some numbers modulo p She wrote the following code and got the verdict Wrong answer She soon discovered the bug the function only worked for numbers in the range 0 p but the numbers in the problem may be out of the range She was curious about the wrong function so she wanted to know the result of it However the original code worked too slow so she asked you to help her You are given an array a 1 a 2 ldots a n and a number p Nauuo will make m queries in each query you are given l and r and you have to calculate the results of You can see the definition of the function in the pseudocode above Note that the integers won t overflow in the code above ,data structures,math
Masha is fond of cacti When she was a little girl she decided to plant a tree Now Masha wants to make a nice cactus out of her tree Recall that is a connected undirected graph that has no cycles is a connected undirected graph such that each vertex belongs to at most one cycle Masha has some additional edges that she can add to a tree For each edge she knows which vertices it would connect and the of this edge Masha can add some of these edges to the graph if the resulting graph is a cactus of the resulting cactus is sum of beauties of all added edges Help Masha find out what maximum of the resulting cactus she can achieve ,dp,math
A team of furry rescue rangers was sitting idle in their hollow tree when suddenly they received a signal of distress In a few moments they were ready and the dirigible of the rescue chipmunks hit the road We assume that the action takes place on a Cartesian plane The headquarters of the rescuers is located at point and the distress signal came from the point Due to Gadget s engineering talent the rescuers dirigible can instantly change its current velocity and direction of movement at any moment and as many times as needed The only limitation is the speed of the aircraft relative to the air can not exceed meters per second Of course Gadget is a true rescuer and wants to reach the destination as soon as possible The matter is complicated by the fact that the wind is blowing in the air and it affects the movement of the dirigible According to the weather forecast the wind will be defined by the vector for the nearest seconds and then will change to These vectors give both the direction and velocity of the wind Formally if a dirigible is located at the point while its own velocity relative to the air is equal to zero and the wind is blowing then after seconds the new position of the dirigible will be Gadget is busy piloting the aircraft so she asked Chip to calculate how long will it take them to reach the destination if they fly optimally He coped with the task easily but Dale is convinced that Chip has given the random value aiming only not to lose the face in front of Gadget Dale has asked you to find the right answer It is guaranteed that the speed of the wind at any moment of time is strictly less than the maximum possible speed of the airship relative to the air ,math,dp
Kevin has just recevied his disappointing results on the USA Identification of Cows Olympiad USAICO in the form of a binary string of length Each character of Kevin s string represents Kevin s score on one of the questions of the olympiad for a correctly identified cow and otherwise However all is not lost Kevin is a big proponent of alternative thinking and believes that his score instead of being the sum of his points should be the length of the longest alternating subsequence of his string Here we define an of a string as a subsequence where no two consecutive elements are equal For example and are alternating sequences while and are not Kevin being the sneaky little puffball that he is is willing to hack into the USAICO databases to improve his score In order to be subtle he decides that he will flip exactly one substring that is take a non empty substring of his score and change all s in that substring to s and vice versa After such an operation Kevin wants to know the length of the longest possible alternating subsequence that his string could have ,greedy,data structures
An array b is called to be a of a if it forms a continuous subsequence of a that is if it is equal to a l a l 1 ldots a r for some l r Suppose m is some known constant For any array having m or more elements let s define it s as the sum of m largest elements of that array For example For array x 4 3 1 5 2 and m 3 the 3 largest elements of x are 5 4 and 3 so the beauty of x is 5 4 3 12 For array x 10 10 10 and m 2 the beauty of x is 10 10 20 You are given an array a 1 a 2 ldots a n the value of the said constant m and an integer k Your need to split the array a into exactly k subarrays such that Each element from a belongs to exactly one subarray Each subarray has at least m elements The sum of all beauties of k subarrays is maximum possible ,greedy,data structures
Overlooking the captivating blend of myriads of vernal hues Arkady the painter lays out a long long canvas Arkady has a sufficiently large amount of paint of three colours cyan magenta and yellow On the one dimensional canvas split into consecutive segments each segment needs to be painted in one of the colours Arkady has already painted some possibly none or all segments and passes the paintbrush to you You are to determine whether there are at least two ways of colouring all the unpainted segments so that no two adjacent segments are of the same colour Two ways are considered different if and only if a segment is painted in different colours in them ,implementation,math
An integer sequence b 1 b 2 ldots b n is if operatorname mex b 1 b 2 ldots b n b 1 b 2 ldots b n 1 Here operatorname mex c denotes the MEX text of the collection c and is the bitwise OR operator Shohag has an integer sequence a 1 a 2 ldots a n He will perform the following q updates on a i x increase a i by x After each update help him find the length of the longest good subarray text of a text The minimum excluded MEX of a collection of integers c 1 c 2 ldots c k is defined as the smallest non negative integer y which does not occur in the collection c text An array d is a subarray of an array f if d can be obtained from f by the deletion of several possibly zero or all elements from the beginning and several possibly zero or all elements from the end ,data structures,math
Zinaida Viktorovna has n students in her history class The homework for today included m topics but the students had little time to prepare so i th student learned only topics from l i to r i inclusive At the beginning of the lesson each student holds their hand at 0 The teacher wants to ask some topics It goes like this The teacher asks the topic k If the student has learned topic k then he raises his hand by 1 otherwise he lower it by 1 Each topic Zinaida Viktorovna can ask Find the maximum difference of the heights of the highest and the lowest hand that can be in class after the survey Note that the student s hand ,greedy,math
We start with a string s consisting only of the digits 1 2 or 3 The length of s is denoted by s For each i from 1 to s the i th character of s is denoted by s i There is one cursor The cursor s location ell is denoted by an integer in 0 ldots s with the following meaning If ell 0 then the cursor is located before the first character of s If ell s then the cursor is located right after the last character of s If 0 ell s then the cursor is located between s ell and s ell 1 We denote by s text left the string to the left of the cursor and s text right the string to the right of the cursor We also have a string c which we call our which starts out as empty There are three types of actions Move the cursor one step to the right This increments ell once Set c leftarrow s text right then set s leftarrow s text left Append the value of c to the end of the string s Note that this doesn t modify c The cursor initially starts at ell 0 Then we perform the following procedure Perform the Move action once Perform the Cut action once Perform the Paste action s ell times If ell x stop Otherwise return to step 1 You re given the initial string s and the integer x What is the length of s when the procedure stops Since this value may be very large only find it modulo 10 9 7 It is guaranteed that ell le s at any time ,implementation,data structures
Alice is playing a game with her good friend Marisa There are n boxes arranged in a line numbered with integers from 1 to n from left to right Marisa will hide a doll in one of the boxes Then Alice will have m chances to guess where the doll is If Alice will correctly guess the number of box where doll is now she will win the game otherwise her friend will win the game In order to win Marisa will use some unfair tricks After each time Alice guesses a box she can move the doll to the neighboring box or just keep it at its place Boxes i and i 1 are neighboring for all 1 leq i leq n 1 She can also use this trick once before the game starts So the game happens in this order the game starts Marisa makes the trick Alice makes the first guess Marisa makes the trick Alice makes the second guess Marisa makes the trick ldots Alice makes m th guess Marisa makes the trick the game ends Alice has come up with a sequence a 1 a 2 ldots a m In the i th guess she will ask if the doll is in the box a i She wants to know the number of scenarios x y for all 1 leq x y leq n such that Marisa can win the game if she will put the doll at the x th box at the beginning and at the end of the game the doll will be at the y th box Help her and calculate this number ,dp,math
Yasya was walking in the forest and accidentally found a tree with n vertices A tree is a connected undirected graph with no cycles Next to the tree the girl found an ancient manuscript with m queries written on it The queries can be of two types The first type of query is described by the integer y The weight of edge in the tree is replaced by the bitwise exclusive OR of the weight of that edge and the integer y The second type is described by the vertex v and the integer x Yasya chooses a vertex u 1 le u le n u neq v and mentally draws a bidirectional edge of weight x from v to u in the tree Then Yasya finds a simple cycle in the resulting graph and calculates the bitwise exclusive OR of all the edges in it She wants to choose a vertex u such that the calculated value is This calculated value will be the answer to the query It can be shown that such a cycle exists and is unique under the given constraints independent of the choice of u If an edge between v and u already existed a simple cycle is the path v to u to v Note that the second type of query is performed meaning the tree does change in any way after it Help Yasya answer all the queries ,data structures,math
Boboniu likes bit operations He wants to play a game with you Boboniu gives you two sequences of non negative integers a 1 a 2 ldots a n and b 1 b 2 ldots b m For each i 1 le i le n you re asked to choose a j 1 le j le m and let c i a i b j where denotes the bitwise AND operation Note that you can pick the same j for different i s Find the minimum possible c 1 c 2 ldots c n where denotes the bitwise OR operation ,greedy,data structures
Santa Claus likes palindromes very much There was his birthday recently of his friends came to him to congratulate him and each of them presented to him a string having the same length We denote the beauty of the th string by It can happen that is negative that means that Santa doesn t find this string beautiful at all Santa Claus is crazy about palindromes He is thinking about the following question what is the maximum possible total beauty of a palindrome which can be obtained by concatenating some possibly all of the strings he has Each present can be used at most once Note that all strings have Recall that a palindrome is a string that doesn t change after one reverses it Since the empty string is a palindrome too the answer can t be negative Even if all s are negative Santa can obtain the empty string ,greedy,math
You are given an array of exactly n numbers 1 2 3 ldots n along with integers k and x Partition the array in exactly k non empty disjoint subsequences such that the bitwise XOR of all numbers in each subsequence is x and each number is in exactly one subsequence Notice that there are no constraints on the length of each subsequence A sequence a is a subsequence of a sequence b if a can be obtained from b by the deletion of several possibly zero or all elements For example for n 15 k 6 x 7 the following scheme is valid 6 10 11 6 oplus 10 oplus 11 7 5 12 14 5 oplus 12 oplus 14 7 3 9 13 3 oplus 9 oplus 13 7 1 2 4 1 oplus 2 oplus 4 7 8 15 8 oplus 15 7 7 7 7 where oplus represents the bitwise XOR operation The following scheme is invalid since 8 15 do not appear 6 10 11 6 oplus 10 oplus 11 7 5 12 14 5 oplus 12 oplus 14 7 3 9 13 3 oplus 9 oplus 13 7 1 2 4 1 oplus 2 oplus 4 7 7 7 7 The following scheme is invalid since 3 appears twice and 1 2 do not appear 6 10 11 6 oplus 10 oplus 11 7 5 12 14 5 oplus 12 oplus 14 7 3 9 13 3 oplus 9 oplus 13 7 3 4 3 oplus 4 7 8 15 8 oplus 15 7 7 7 7 ,greedy,data structures
You are given a tree of n vertices and n 1 edges The i th vertex has an initial weight a i Let the d v u from vertex v to vertex u be the number of edges on the path from v to u Note that d v u d u v and d v v 0 Let the distance w v u from v to u be w v u d v u a u Note that w v v a v and w v u neq w u v if a u neq a v Analogically to usual distance let s define the e v of vertex v as the greatest weighted distance from v to any other vertex including v itself or e v max limits 1 le u le n w v u Finally let s define the r of the tree as the minimum eccentricity of any vertex or r min limits 1 le v le n e v You need to perform m queries of the following form v j x j assign a v j x j After performing each query print the radius r of the current tree ,implementation,math
Let s define a forest as a non directed acyclic graph also without loops and parallel edges One day Misha played with the forest consisting of vertices For each vertex from to he wrote down two integers and were the first integer is the number of vertices adjacent to vertex and the second integer is the XOR sum of the numbers of vertices adjacent to if there were no adjacent vertices he wrote down Next day Misha couldn t remember what graph he initially had Misha has values and left though Help him find the number of edges and the edges of the initial graph It is guaranteed that there exists a forest that corresponds to the numbers written by Misha ,greedy,math
On the well known testing system MathForces a draw of n rating units is arranged The rating will be distributed according to the following algorithm if k participants take part in this event then the n rating is evenly distributed between them and rounded to the nearest lower integer At the end of the drawing an unused rating may remain it is not given to any of the participants For example if n 5 and k 3 then each participant will recieve an 1 rating unit and also 2 rating units will remain unused If n 5 and k 6 then none of the participants will increase their rating Vasya participates in this rating draw but does not have information on the total number of participants in this event Therefore he wants to know what different values of the rating increment are possible to get as a result of this draw and asks you for help For example if n 5 then the answer is equal to the sequence 0 1 2 5 Each of the sequence values and only them can be obtained as lfloor n k rfloor for some positive integer k where lfloor x rfloor is the value of x rounded down 0 lfloor 5 7 rfloor 1 lfloor 5 5 rfloor 2 lfloor 5 2 rfloor 5 lfloor 5 1 rfloor Write a program that for a given n finds a sequence of all possible rating increments ,math,data structures
Zeyad wants to commit crimes in Egypt and not be punished at the end There are several types of crimes For example bribery is a crime but is not considered such when repeated twice Therefore bribery is not considered a crime when repeated an even number of times Speeding is a crime but is not considered such when repeated a number of times which is a multiple of five More specifically conditions on crime repetitions are known Each condition describes the crime type and its multiplicity If the number of times Zeyad committed the crime is a multiple of Zeyad will not be punished for crime Some crimes may be listed more than once In this case fulfilling at least one condition for this crime is enough to not be punished for it Of course if for certain crime the number of times Zeyad committed it is zero he is innocent with respect to this crime Now Zeyad is interested in a number of ways he can commit exactly crimes without any punishment The order of commiting the crimes matters More formally two ways sequences and of committing crimes are equal if for all ,dp,math
The Queen of England has trees growing in a row in her garden At that the th tree from the left has height meters Today the Queen decided to update the scenery of her garden She wants the trees heights to meet the condition for all where is the number the Queen chose Unfortunately the royal gardener is not a machine and he cannot fulfill the desire of the Queen instantly In one minute the gardener can either decrease the height of a tree to any positive integer height or increase the height of a tree to any positive integer height How should the royal gardener act to fulfill a whim of Her Majesty in the minimum number of minutes ,implementation,math
Major Ram is being chased by his arch enemy Raghav Ram must reach the top of the building to escape via helicopter The building however is on fire Ram must choose the optimal path to reach the top of the building to lose the minimum amount of health The building consists of n floors each with m rooms each Let i j represent the j th room on the i th floor Additionally there are k ladders installed The i th ladder allows Ram to travel from a i b i to c i d i but Ram also gains h i health points if he uses the ladder i If Ram is on the i th floor he can move either left or right Travelling across floors however is treacherous If Ram travels from i j to i k he loses j k cdot x i health points Ram enters the building at 1 1 while his helicopter is waiting at n m What is the minimum amount of health Ram loses if he takes the most optimal path Note this answer may be negative in which case he gains health Output if no matter what path Ram takes he cannot escape the clutches of Raghav ,data structures,math
Alan Turing is standing on a tape divided into cells that is infinite in both directions Cells are numbered with consecutive integers from left to right Alan is initially standing in cell 0 Every cell x has cell x 1 on the left and cell x 1 on the right Each cell can either contain an integer or be empty Initially all cells are empty Alan is given a permutation a 1 a 2 ldots a n of integers from 1 to n that was chosen among all permutations of length n At time 1 integer a 1 is written down into cell 0 where Alan is located At each time i from 2 to n inclusive the following happens First Alan decides whether to stay in the same cell he s currently in move to the neighboring cell on the left or move to the neighboring cell on the right After that integer a i is written down into the cell where Alan is located If that cell already contained some integer the old integer is overwritten and irrelevant from that moment on Once a n is written down into some cell at time n sequence b of all integers contained in the cells from left to right is formed Empty cells are ignored Turing s award is equal to the length of the longest increasing subsequence of sequence b Help Alan and determine the largest possible value of his award if he acts optimally ,data structures,implementation
As a German University in Cairo GUC student and a basketball player Herr Wafa was delighted once he heard the news GUC is finally participating in the Annual Basketball Competition ABC A team is to be formed of players all of which are GUC students However the team might have players belonging to different departments There are departments in GUC numbered from to Herr Wafa s department has number For each department Herr Wafa knows number how many students who play basketball belong to this department Herr Wafa was also able to guarantee a spot on the team using his special powers But since he hates floating point numbers he needs your help at finding the probability that he will have at least one teammate belonging to his department Note that every possible team containing Herr Wafa is equally probable Consider all the students different from each other ,math,implementation
Everyone knows that agents in Valorant decide who will play as attackers and who will play as defenders To do that Raze and Breach decided to play t matches of a digit game In each of t matches of the digit game a positive integer is generated It consists of n digits The digits of this integer are numerated from 1 to n from the highest order digit to the lowest order digit After this integer is announced the match starts Agents play in turns Raze starts In one turn an agent can choose any unmarked digit and mark it Raze can choose digits on odd positions but can not choose digits on even positions Breach can choose digits on even positions but can not choose digits on odd positions The match ends when there is only one unmarked digit left If the single last digit is odd then Raze wins else Breach wins It can be proved that before the end of the match for every initial integer with n digits each agent has an ability to make a turn i e there is at least one unmarked digit that stands on a position of required parity For each of t matches find out which agent wins if both of them want to win and play optimally ,greedy,math
Slavic has a very tough exam and needs your help in order to pass it Here is the question he is struggling with There exists a string s which consists of lowercase English letters and possibly zero or more Slavic is asked to change each to a lowercase English letter such that string t becomes a subsequence not necessarily continuous of the string s Output any such string or say that it is impossible in case no string that respects the conditions exists ,implementation,data structures
You are given a matrix consisting of n rows and m columns Each cell of this matrix contains 0 or 1 Let s call a square of size 2 times 2 without one corner cell an L shape figure In one operation you can take one L shape figure with at least one cell containing 1 and replace all numbers in it with zeroes Find the number of operations that you can do with the given matrix ,implementation,data structures
A word or a sentence in some language is called a if all the characters of the alphabet of this language appear in it Pangrams are often used to demonstrate fonts in printing or test the output devices You are given a string consisting of lowercase and uppercase Latin letters Check whether this string is a pangram We say that the string contains a letter of the Latin alphabet if this letter occurs in the string in uppercase or lowercase ,implementation,data structures
You are given four different integer points p 1 p 2 p 3 and p 4 on mathit XY grid In one step you can choose one of the points p i and move it in one of four directions by one In other words if you have chosen point p i x y you can move it to x y 1 x y 1 x 1 y or x 1 y Your goal to move points in such a way that they will form a square with sides parallel to mathit OX and mathit OY axes a square with side 0 is allowed What is the minimum number of steps you need to make such a square ,math,data structures
Codeforces separates its users into 4 divisions by their rating For Division 1 1900 leq mathrm rating For Division 2 1600 leq mathrm rating leq 1899 For Division 3 1400 leq mathrm rating leq 1599 For Division 4 mathrm rating leq 1399 Given a mathrm rating print in which division the mathrm rating belongs ,implementation,math
You are given an array a 1 a 2 dots a n Your goal is to find the length of the longest subarray of this array such that the most frequent value in it is unique In other words you are looking for a subarray such that if the most frequent value occurs f times in this subarray then at least 2 different values should occur exactly f times An array c is a subarray of an array d if c can be obtained from d by deletion of several possibly zero or all elements from the beginning and several possibly zero or all elements from the end ,data structures,math
Recently Duff has been a soldier in the army Malek is her commander Their country Andarz Gu has cities numbered from to and bidirectional roads Each road connects two different cities There exist a unique path between any two cities There are also people living in Andarz Gu numbered from to Each person has and ID number ID number of person is and he she lives in city number Note that there may be more than one person in a city also there may be no people living in the city Malek loves to order That s why he asks Duff to answer to queries In each query he gives her numbers and To answer a query Assume there are people living in the cities lying on the path from city to city Assume these people s IDs are in increasing order If then Duff should tell Malek numbers in this order In the other words Malek wants to know minimums on that path or less if there are less than people Duff is very busy at the moment so she asked you to help her and answer the queries ,data structures,math
Vasya is sitting on an extremely boring math class To have fun he took a piece of paper and wrote out numbers on a single line After that Vasya began to write out different ways to put pluses in the line between certain digits in the line so that the result was a correct arithmetic expression formally no two pluses in such a partition can stand together between any two adjacent pluses there must be at least one digit and no plus can stand at the beginning or the end of a line For example in the string ways add no pluses or are correct and ways or are incorrect The lesson was long and Vasya has written all the correct ways to place exactly pluses in a string of digits At this point he got caught having fun by a teacher and he was given the task to calculate the sum of all the resulting arithmetic expressions by the end of the lesson when calculating the value of an expression the leading zeros should be ignored As the answer can be large Vasya is allowed to get only its remainder modulo Help him ,dp,data structures
You have a string s consisting of lowercase Latin alphabet letters You can color some letters in colors from 1 to k It is not necessary to paint all the letters But for each color there must be a letter painted in that color Then you can swap any two symbols painted in the same color as many times as you want After that k strings will be created i th of them will contain all the characters colored in the color i written in the order of their sequence in the string s Your task is to color the characters of the string so that all the resulting k strings are palindromes and the length of the shortest of these k strings is as as possible Read the note for the first test case of the example if you need a clarification Recall that a string is a palindrome if it reads the same way both from left to right and from right to left For example the strings and are palindromes but the strings and are not ,greedy,data structures
You are given a binary string s of length n a string consisting of n characters and each character is either or Let s look at s as at a binary representation of some integer and name that integer as the of string s For example the value of is 0 the value of is 13 is 32 and so on You can perform at most k operations on s Each operation should have one of the two following types choose two indices i j in s and swap s i with s j delete all leading zeroes from s and reverse s For example after you perform on you ll get What is the minimum value of s you can achieve by performing at most k operations on s ,implementation,data structures
Alena has successfully passed the entrance exams to the university and is now looking forward to start studying One two hour lesson at the Russian university is traditionally called a it lasts for two academic hours an academic hour is equal to 45 minutes The University works in such a way that every day it holds exactly lessons Depending on the schedule of a particular group of students on a given day some pairs may actually contain classes but some may be empty such pairs are called breaks The official website of the university has already published the schedule for tomorrow for Alena s group Thus for each of the pairs she knows if there will be a class at that time or not Alena s House is far from the university so if there are breaks she doesn t always go home Alena has time to go home only if the break consists of at least two free pairs in a row otherwise she waits for the next pair at the university Of course Alena does not want to be sleepy during pairs so she will sleep as long as possible and will only come to the first pair that is presented in her schedule Similarly if there are no more pairs then Alena immediately goes home Alena appreciates the time spent at home so she always goes home when it is possible and returns to the university only at the beginning of the next pair Help Alena determine for how many pairs she will stay at the university Note that during some pairs Alena may be at the university waiting for the upcoming pair ,implementation,math
Given an array a consisting of n elements find the maximum possible sum the array can have after performing the following operation Choose 2 elements and flip both of their signs In other words choose an index i such that 1 leq i leq n 1 and assign a i a i and a i 1 a i 1 ,greedy,math
Nastya received one more array on her birthday this array can be used to play a traditional Byteland game on it However to play the game the players should first select such a subsegment of the array that where is the product of all integers on the given array is their sum and is a given constant for all subsegments Nastya wonders how many subsegments of the array fit the described conditions A subsegment of an array is several consecutive integers of the array ,implementation,data structures
A palindrome is a string t which reads the same backward as forward formally t i t t 1 i for all i in 1 t Here t denotes the length of a string t For example the strings and are palindromes You have n binary strings s 1 s 2 dots s n each s i consists of zeroes and or ones You can swap any pair of characters any number of times possibly zero Characters can be either from the same string or from different strings there are no restrictions Formally in one move you choose four integer numbers x a y b such that 1 le x y le n and 1 le a le s x and 1 le b le s y where x and y are string indices and a and b are positions in strings s x and s y respectively swap exchange the characters s x a and s y b What is the maximum number of strings you can make palindromic simultaneously ,greedy,data structures
The boy Vitya loves to listen to music very much He knows that n albums are due to be released this Friday i th of which contains k i tracks Of course Vitya has already listened to all the tracks and knows that in the i th album the coolness of the j th track is equal to a i j Vitya has a friend Masha whom he really wants to invite to the festival where his favorite bands perform However in order for a friend to agree she must first evaluate the released novelties Vitya knows that if Masha listens to a track that was cooler than all the previous ones she will get 1 unit of impression Unfortunately albums can only be listened to in their entirety without changing the songs in them in places Help Vitya find such an order of albums so that Masha s impression turns out to be as much as possible and she definitely went to the festival with him ,greedy,math
